powerful,1
dark,1
solid,1
current,1
second,1
nice,1
own,1
first,2
good,2
military,1
second,1
military,1
real,1
great,1
great,2
first,1
tame,1
different,1
excited,1
old,1
wise,1
best,1
other,2
separate,1
more,1
many,1
morethe,1
good,1
great,1
small,1
own,1
surprised,1
related,1
old,1
great,1
extra,1
old,1
happy,1
lovely,1
awesome,1
such,2
great,1
better,1
fast,1
little,1
nice,2
other,1
visual,1
several,1
old,1
noisier,1
bought,1
other,1
same,1
irritating,1
sudden,1
old,1
frustrated,1
much,1
better,1
old,1
loud,1
total,1
relative,1
good,1
impossible,1
worth,1
cool,1
high,1
new,1
better,1
old,1
bought,1
old,1
good,1
more,1
little,1
wonderful,1
sound,1
educational,1
great,1
great,1
good,1
such,1
newer,1
timeless,1
better,1
fond,1
different,2
older,5
haunted,2
larger,1
graphicswise,1
second,3
short,2
able,1
methe,1
newer,6
particular,1
same,1
smart,1
little,1
usb,1
late,1
normal,1
actual,1
indepth,1
intriguing,1
enough,1
first,2
original,2
third,2
much,2
smaller,2
whole,1
correct,1
impressed,1
effective,1
previous,1
different,1
best,1
online,1
other,1
many,1
spotty,1
bad,1
good,1
old,1
awesome,1
more,1
subz,1
next,1
best,2
itthe,1
impossible,1
similar,1
easy,1
fair,1
useful,1
specific,1
playable,1
short,1
prehistoric,1
decent,1
happy,1
new,1
relative,1
disappointed,1
compatible,1
needless,1
dated,1
complete,1
modern,1
dissappointed,1
timely,1
only,1
different,1
old,1
harder,1
happy,1
old,1
great,2
hidden,2
disappointing,1
unused,1
good,1
excellent,1
new,1
coolest,1
patient,1
rewritable,1
old,1
sure,1
massive,1
new,1
audio,1
certain,1
own,2
cool,1
decent,1
complete,1
new,1
key,1
full,1
limited,1
worst,1
able,2
disappointed,1
unimpressive,1
sloppy,1
clunky,1
younger,1
generic,1
strange,1
enjoyable,1
various,1
awesome,1
good,1
better,1
first,1
minimum,1
useless,1
wrong,2
easy,1
frustrating,1
old,1
wrong,1
sick,1
educational,1
many,1
different,1
wrong,1
whole,1
much,1
full,1
more,2
green,1
senior,1
much,1
civil,1
difficult,1
military,1
grand,1
huge,1
satisfying,1
only,1
new,1
most,1
humorous,1
technical,1
puzzlesolving,1
mid,1
dialogdriven,1
linear,1
awesome,1
violent,1
contemporary,1
real,1
nice,1
own,1
fine,1
giant,1
early,1
crazy,1
interesting,1
insane,1
entertaining,1
wacky,1
neat,1
main,1
big,1
retail,1
newer,1
close,1
great,2
whole,1
amazing,1
proevolution,1
extra,1
real,2
limited,1
amazing,1
nice,1
good,1
solid,1
best,1
interested,1
other,1
several,1
unable,1
unplayable,1
different,3
constant,2
important,1
online,1
stronger,1
quick,1
common,1
fast,1
concerned,1
multiplayer,1
nuclear,1
own,2
hard,1
same,1
paced,1
polluted,1
continuous,2
hippy,1
many,1
real,1
aerial,1
first,1
liberal,1
capable,1
several,1
new,1
single,1
